product_category_name,product_category_name_english,product_category_name_slovak
beleza_saude,health_beauty,Zdravie a krása
informatica_acessorios,computers_accessories,Počítače a príslušenstvo
automotivo,auto,Auto-moto
cama_mesa_banho,bed_bath_table,"Posteľ, kúpeľňa a stolovanie"
moveis_decoracao,furniture_decor,Nábytok a dekorácie
esporte_lazer,sports_leisure,Šport a voľný čas
perfumaria,perfumery,Parfuméria
utilidades_domesticas,housewares,Domáce potreby
telefonia,telephony,Telefónia
relogios_presentes,watches_gifts,Hodinky a darčeky
alimentos_bebidas,food_drink,Potraviny a nápoje
bebes,baby,Pre bábätká
papelaria,stationery,Papiernictvo
tablets_impressao_imagem,tablets_printing_image,"Tablety, tlač a obraz"
brinquedos,toys,Hračky
telefonia_fixa,fixed_telephony,Pevná linka
ferramentas_jardim,garden_tools,Záhradné náradie
fashion_bolsas_e_acessorios,fashion_bags_accessories,Móda – tašky a doplnky
eletroportateis,small_appliances,Malé spotrebiče
consoles_games,consoles_games,Herné konzoly a hry
audio,audio,Audio
fashion_calcados,fashion_shoes,Móda – obuv
cool_stuff,cool_stuff,Zaujímavé veci
malas_acessorios,luggage_accessories,Batožina a cestovné doplnky
climatizacao,air_conditioning,Klimatizácia
construcao_ferramentas_construcao,construction_tools_construction,Stavebné náradie – stavba
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,"Nábytok do kuchyne, jedálne, práčovne a záhrady"
construcao_ferramentas_jardim,costruction_tools_garden,Stavebné náradie – záhrada
fashion_roupa_masculina,fashion_male_clothing,Móda – pánske oblečenie
pet_shop,pet_shop,Chovateľské potreby
moveis_escritorio,office_furniture,Kancelársky nábytok
market_place,market_place,Marketplace
eletronicos,electronics,Elektronika
eletrodomesticos,home_appliances,Domáce spotrebiče
artigos_de_festas,party_supplies,Party potreby
casa_conforto,home_confort,Domáci komfort
construcao_ferramentas_ferramentas,costruction_tools_tools,Náradie
agro_industria_e_comercio,agro_industry_and_commerce,Agropriemysel a obchod
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,"Nábytok, matrace a čalúnenie"
livros_tecnicos,books_technical,Technická literatúra
casa_construcao,home_construction,Dom a stavba
instrumentos_musicais,musical_instruments,Hudobné nástroje
moveis_sala,furniture_living_room,Nábytok do obývačky
construcao_ferramentas_iluminacao,construction_tools_lights,Stavebné náradie – osvetlenie
industria_comercio_e_negocios,industry_commerce_and_business,"Priemysel, obchod a podnikanie"
alimentos,food,Potraviny
artes,art,Umenie
moveis_quarto,furniture_bedroom,Nábytok do spálne
livros_interesse_geral,books_general_interest,Knihy – všeobecné
construcao_ferramentas_seguranca,construction_tools_safety,Stavebné náradie – bezpečnosť
fashion_underwear_e_moda_praia,fashion_underwear_beach,Móda – spodná bielizeň a pláž
fashion_esporte,fashion_sport,Móda – šport
sinalizacao_e_seguranca,signaling_and_security,Signalizácia a zabezpečenie
pcs,computers,Počítače
artigos_de_natal,christmas_supplies,Vianočné potreby
fashion_roupa_feminina,fashio_female_clothing,Móda – dámske oblečenie
eletrodomesticos_2,home_appliances_2,Domáce spotrebiče (2)
livros_importados,books_imported,Knihy – importované
bebidas,drinks,Nápoje
cine_foto,cine_photo,Foto a video
la_cuisine,la_cuisine,Kuchynské potreby
musica,music,Hudba
casa_conforto_2,home_comfort_2,Domáci komfort (2)
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,Malé spotrebiče – rúry a kávovary
cds_dvds_musicais,cds_dvds_musicals,CD/DVD a muzikály
dvds_blu_ray,dvds_blu_ray,DVD a Blu-ray
flores,flowers,Kvety
artes_e_artesanato,arts_and_craftmanship,Umenie a remeslá
fraldas_higiene,diapers_and_hygiene,Plienky a hygiena
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,Móda – detské oblečenie
seguros_e_servicos,security_and_services,Bezpečnosť a služby
